Skills,Interests,Suggested_Career,Major_Application
Python,SQL,Data Analyst,Finance
Java,DSA,Software Developer,IT Services
HTML,CSS,Frontend Developer,Web Agencies
Machine Learning,AI,AI Engineer,Healthcare
Communication,Writing,Teacher,Education
Excel,Reporting,Business Analyst,Consulting
Cooking,Creativity,Chef,Hospitality
Cooking,Health,Nutritionist,Healthcare
Cooking,Writing,Food Blogger,Media
Cooking,Creativity,Baker,Bakery
Dancing,Performance,Dancer,Entertainment
Dancing,Creativity,Choreographer,Events
Dancing,Teaching,Dance Teacher,Education
Singing,Music,Singer,Entertainment
Singing,Creativity,Voice Artist,Media
Singing,Teaching,Music Teacher,Education
Debate,Law,Lawyer,Law
Debate,Politics,Politician,Government
Debate,Media,Journalist,News
Debate,Communication,Public Speaker,Corporate
Drawing,Art,Illustrator,Publishing
Drawing,Creativity,Animator,Animation Studios
Drawing,Design,Architect,Construction
Drawing,Engineering,Industrial Designer,Manufacturing
Sports,Training,Athlete,Sports
Sports,Guidance,Coach,Education
Sports,Health,Physiotherapist,Healthcare
Sports,Media,Sports Commentator,Broadcasting
Writing,Creativity,Author,Publishing
Writing,Media,Scriptwriter,Film Industry
Writing,Marketing,Copywriter,Advertising
Writing,Creativity,Poet,Literature
Acting,Drama,Actor,Theatre
Acting,Film,Film Director,Cinema
Acting,Teaching,Drama Teacher,Education
Photography,Creativity,Photographer,Media
Photography,Art,Photojournalist,News
Photography,Design,Videographer,Film
Photography,Nature,Wildlife Photographer,Environment
Painting,Art,Artist,Galleries
Painting,Teaching,Art Teacher,Education
Painting,Creativity,Illustrator,Books
Fashion,Creativity,Fashion Designer,Fashion Industry
Fashion,Marketing,Stylist,Media
Fashion,Management,Fashion Merchandiser,Retail
Fashion,Creativity,Makeup Artist,Beauty
Travel,Writing,Travel Blogger,Media
Travel,Guidance,Tour Guide,Tourism
Travel,Creativity,Travel Photographer,Media
Travel,Management,Travel Agent,Tourism
Medicine,Biology,Doctor,Healthcare
Medicine,Research,Medical Researcher,Academia
Medicine,Assistance,Nurse,Healthcare
Medicine,Community,Public Health Officer,Government
Biology,Research,Biologist,Environment
Biology,Wildlife,Zoologist,Wildlife Conservation
Biology,Environment,Marine Biologist,Oceans
Biology,Lab,Geneticist,Biotech
Math,Problem Solving,Mathematician,Academia
Math,Finance,Actuary,Insurance
Math,Logic,Statistician,Government
Math,Trading,Quant Analyst,Finance
Physics,Research,Physicist,Academia
Physics,Engineering,Aerospace Engineer,Space
Physics,Energy,Nuclear Scientist,Energy
Physics,Teaching,Physics Professor,Education
Chemistry,Research,Chemist,Laboratories
Chemistry,Industry,Pharmacist,Healthcare
Chemistry,Materials,Material Scientist,Manufacturing
Chemistry,Forensics,Forensic Scientist,Law
History,Research,Historian,Museums
History,Media,Archaeologist,Heritage
History,Teaching,History Teacher,Education
History,Writing,Author,Publishing
Geography,Environment,Geographer,Research
Geography,Mapping,Cartographer,Mapping
Geography,Climate,Climatologist,Environment
Geography,Exploration,Urban Planner,Government
Economics,Finance,Economist,Policy
Economics,Markets,Financial Analyst,Banking
Economics,Data,Economic Researcher,Academia
Economics,Policy,Policy Analyst,Government
Business,Management,Entrepreneur,Startups
Business,Strategy,Management Consultant,Consulting
Business,Sales,Sales Executive,Corporate
Business,Leadership,HR Manager,Human Resources
Law,Justice,Judge,Court
Law,Advice,Legal Advisor,Corporate
Law,Writing,Legal Writer,Publishing
Law,Crime,Criminologist,Forensics
Psychology,Counseling,Psychologist,Mental Health
Psychology,Work,Organizational Psychologist,Corporate
Psychology,Health,Therapist,Healthcare
Psychology,Research,Neuroscientist,Academia
Education,Teaching,Professor,Universities
Education,Creativity,Instructional Designer,E-learning
Education,Guidance,Career Counselor,Schools
Education,Leadership,Principal,Institutions
Finance,Investment,Investment Banker,Banking
Finance,Accounting,Chartered Accountant,Finance
Finance,Markets,Stock Broker,Trading
Finance,Wealth,Financial Planner,Personal Finance
Engineering,Design,Civil Engineer,Infrastructure
Engineering,Electronics,Electrical Engineer,Energy
Engineering,Software,Software Engineer,IT
Engineering,Robotics,Robotics Engineer,Automation
Engineering,Automation,AI/ML Engineer,Tech
Cybersecurity,Hacking,Security Analyst,IT
Cybersecurity,Networks,Ethical Hacker,Cybersecurity
Cybersecurity,Policy,Cybersecurity Consultant,Government
Digital Marketing,Creativity,SEO Specialist,Advertising
Digital Marketing,Strategy,Social Media Manager,Media
Digital Marketing,Content,Digital Strategist,Corporate
Blockchain,Coding,Blockchain Developer,Finance
Blockchain,Trading,Crypto Analyst,Markets
Blockchain,Security,Smart Contract Developer,Tech
Game Development,Creativity,Game Designer,Entertainment
Game Development,Coding,Game Developer,IT
Game Development,Art,Game Animator,Media
UI/UX,Creativity,UX Designer,Tech
UI/UX,Design,UI Developer,IT
UI/UX,Research,Product Designer,Corporate
Environment,Climate,Environmental Scientist,Research
Environment,Policy,Sustainability Consultant,NGOs
Environment,Wildlife,Conservationist,Forestry
